,company_name,license,items,home,businessPerson,epsProductAddress,businessLicenseNumber,legalPerson,qfManagerName,qualityPerson,rcManagerDepartName,rcManagerUser,xkDate,xkDateStr,xkName
0,郑州付氏育发化妆品有限公司,豫妆20160033,一般液态单元（护发清洁类）；气雾剂及有机溶剂单元（有机溶剂类）,郑州市金水区沙口路113号,姜长宏,郑州市金水区沙口路113号,914101057457968673,姜长宏,郑州市市场监督管理局,姜长海,金水区食品药品监督管理局,赵振强、徐明晨,2026-12-31,2021-12-31,焦军
1,河南汉方药业有限责任公司,豫妆20160009,一般液态单元（护肤水类）；膏霜乳液单元（护肤清洁类）；粉单元（块状粉类、散粉类）,郑州市金水区金水路96号,耿永华,郑州市中牟产业园区永盛路南侧高庄路西侧永昌路北侧,914101057296068835,司根令,郑州市市场监督管理局,杨庆胜,郑州市食品药品监督管理局郑东分局,王鸽、王文生,2026-12-31,2021-12-31,焦军
2,新疆金海娜生物科技有限公司,新妆20160016,一般液态单元（护发清洁类）；膏霜乳液单元（护发类、染烫发类）；粉单元（染发类）,新疆乌鲁木齐市头屯河区明慧巷135号,张显文,新疆乌鲁木齐市头屯河区明慧巷135号,91650106757691982F,张显文,新疆维吾尔自治区药品监督管理局,马维忠,新疆维吾尔自治区药品监督管理局,刘维、柴霞,2026-12-30,2021-12-31,马明辉
3,平顶山市聚隆工贸有限公司,豫妆20160026,一般液态单元（护发清洁类）；膏霜乳液单元（护肤清洁类）；粉单元（浴盐类）,河南省平顶山市湛河区高阳路街道黄河路东段豫达工业园,赵艳婷,河南省平顶山市湛河区高阳路街道黄河路东段豫达工业园,91410411588570230H,张明华,河南省药品监督管理局,张明华,河南省药品监督管理局第六监管分局,/,2026-12-29,2021-12-30,庆凌
4,江苏朗沁科技有限公司,苏妆20210046,一般液态单元（啫喱类、护肤水类）；膏霜乳液单元（护肤清洁类）,镇江市句容市经济开发区石狮路富达创业园06幢三层,王静,镇江市句容市经济开发区石狮路富达创业园06幢三层,91321183MA1PAUBLXT,汤斌洪,江苏省药品监督管理局,成号,江苏省药品监督管理局（镇江检查分局）,江苏省药品监督管理局（镇江检查分局）负责日常监管的人员,2026-12-29,2021-12-30,姜伟
5,厦门美滋颜化妆品有限公司,闽妆20190008,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）；粉单元（块状粉类、散粉类、浴盐类）；蜡基单元（蜡基类）,厦门市翔安区马巷镇翔安工业园区巷北片区舫山北二路1123-1139号1号楼3楼,赵忠娣,厦门市翔安区马巷镇翔安工业园区巷北片区舫山北二路1127号3楼,91350213MA31HEG22M,周列五,福建省药品监督管理局,李君伟,福建省药品监督管理局厦门药品稽查办公室,***,2024-11-20,2021-12-30,
6,天津世纪康泰生物医学工程有限公司,津妆20210006,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护肤清洁类）,天津开发区西区新兴路99号,裴秀娟,天津开发区西区新兴路99号,91120116681883522M,裴秀娟,天津市药品监督管理局,裴秀娟,天津市药品监督管理局,马小溪  陈静,2026-05-17,2021-12-30,张胜昔
7,禹州市天源生物科技有限公司,豫妆20210015,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,禹州市东产业集聚区医药健康产业园,梁明杰,禹州市东产业集聚区医药健康产业园,91411081MA3X5J7N4D,梁明杰,河南省药品监督管理局,景化雨,河南省药品监督管理局第七监管分局,/,2026-12-29,2021-12-29,庆凌
8,南京天其美生物技术有限公司,苏妆20200026,一般液态单元（护肤水类）,南京市江宁区乾德路2号4栋1楼（江宁高新园）,仇德发,南京市江宁区乾德路2号4栋1楼（江宁高新园）,91320115MA1R9MDG61,仇德发,江苏省药品监督管理局,何仁玲,江苏省药品监督管理局,宁翔德、史祖如,2025-12-06,2021-12-29,陈元虎
9,江阴市中医药临床研究所,苏妆20160236,膏霜乳液单元（护肤清洁类）,江阴市人民中路130号,黄和军,江阴市人民中路130号,91320281250391374Y,陈国宝,江苏省药品监督管理局,黄和军,江苏省药品监督管理局（无锡检查分局）,王丹、冯佳超,2026-12-28,2021-12-29,张贤
10,嘉亨家化股份有限公司,闽妆20190007,粉单元（散粉类）,泉州市鲤城区江南火炬工业区,曾本生,泉州市鲤城区江南火炬工业区常兴路289号,91350500775373224G,曾本生,福建省药品监督管理局,翁馥颖,福建省药品监督管理局厦门药品稽查办公室,***,2024-11-03,2021-12-29,
11,抚顺胜宝日用化工有限公司,辽妆20160053,一般液态单元（护发清洁类）；膏霜乳液单元（护发类）,抚顺市新抚区人工河路17号,田发明,抚顺市新抚区人工河路17号,912104006037307152,田发明,辽宁省食品药品监督管理局,窦海峰,抚顺市食品药品监督管理局,雷良元、杨明霞、赵彤,2026-12-29,2021-12-29,潘勇
12,沈阳市富丽美容美发用品厂,辽妆20160051,一般液态单元（护发清洁类、染烫发类）；膏霜乳液单元（护发类）,沈阳市东陵区营城子街道后桑林子村,史家骏,沈阳市东陵区营城子街道后桑林子村,91210112MA0P54RBXU,于文艳,辽宁省食品药品监督管理局,史家骏,浑南区市场监督管理局,陈军、陶晓华,2026-12-29,2021-12-29,潘勇
13,沈阳娇琪化妆品有限公司,辽妆20160050,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,沈阳市东陵区祝家镇田家洼村140号,程鹏,沈阳市东陵区祝家镇田家洼村140号,912101127555357831,程鹏,辽宁省食品药品监督管理局,刘航,浑南区市场监督管理局,陈军、陶晓华,2026-12-29,2021-12-29,潘勇
14,大连力标化妆品有限公司,辽妆20160044,一般液态单元（护发清洁类）；膏霜乳液单元（护发类、护肤清洁类）,辽宁省大连市甘井子区南关岭镇姚家工业园区,陈慧,大连市甘井子区南关岭镇姚家工业园区,912102117327839876,陈慧,辽宁省食品药品监督管理局,陈慧,大连市食品药品监督管理局,钟红玲、梁辉,2026-12-29,2021-12-29,潘勇
15,沈阳天乐保化品有限公司,辽妆20160042,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,沈阳市苏家屯区瑰香街29号,尹振宇,沈阳市苏家屯区瑰香街29号,91210100691965396X,尹铉锡,辽宁省食品药品监督管理局,王健,苏家屯区市场监督管理局,李斯本、郭立新,2026-12-29,2021-12-29,潘勇
16,沈阳市坤美惜美容用品有限公司,辽妆20160041,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）；粉单元（散粉类）,沈阳市和平区浑河站街105号,彭之玉,沈阳市和平区浑河站街105号,91210102050776931E,彭之玉,辽宁省食品药品监督管理局,安红秋,和平区市场监督管理局,徐晓丹、姚承业,2026-12-29,2021-12-29,潘勇
17,沈阳华夷生发健发科技开发有限公司,辽妆20160040,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）；粉单元（散粉类）,沈阳市沈北新区聚农路12号,于世韬,沈阳市沈北新区聚农路12号,91210113243233140J,于世韬,辽宁省食品药品监督管理局,迟平,沈北新区市场监督管理局,高忠民、边树斌,2026-12-29,2021-12-29,潘勇
18,六本木化妆品（大连）有限公司,辽妆20160035,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护肤清洁类）,辽宁省大连保税区远东大厦808#,刘文波,辽宁省大连保税区远东大厦808#,912102427169249549,刘然,辽宁省食品药品监督管理局,王国华,大连市食品药品监督管理局,钟红玲、梁辉,2026-12-29,2021-12-29,潘勇
19,大连水元生科技开发有限公司,辽妆20160034,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,大连高新技术产业园区七贤岭产业化基地世达街4号,裴廷延,大连市高新园区世达街4号,91210231764442087N,杨永鹏,辽宁省药品监督管理局,唐洪林,辽宁省药品监督管理局,辽宁省药品监督管理局稽查二处,2026-12-29,2021-12-29,潘勇
20,盘锦媚丽一生生物科技有限公司,辽妆20160033,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,盘锦市双台子区陆家乡赵家村,王守军,辽宁省盘锦市双台子区陆家乡赵家村,91211102661232407H,王守军,辽宁省食品药品监督管理局,王淑香,盘锦市食品药品监督管理局,李旭、刘春艳、赵丹丹、梁玉红,2026-12-29,2021-12-29,潘勇
21,大连河原日用化学品有限公司,辽妆20160032,一般液态单元（啫喱类、护发清洁类、护肤水类、染烫发类）；膏霜乳液单元（护发类、护肤清洁类、染烫发类）,辽宁省瓦房店市三台乡西蓝旗村,曲静,辽宁省大连市瓦房店市三台乡西蓝旗村,91210281716986661C,曲静,辽宁省食品药品监督管理局,邹翠兰,大连市食品药品监督管理局,钟红玲、梁辉,2026-12-29,2021-12-29,潘勇
22,上海佳俐旅游用品有限公司二分公司,沪妆20160182,***注：不具备眼部用护肤类、婴儿和儿童用护肤类化妆品生产条件,上海市宝山区长川路109号,无,上海市宝山区长川路109号,91310113574184419W,陈兰新,上海市药品监督管理局,无,上海市宝山区市场监督管理局,陆逸雁、鲍欣奕,2026-12-22,2021-12-29,赵燕君
23,东莞泰盟饰品有限公司,粤妆20161794,粉单元（散粉类、块状粉类）；蜡基单元（蜡基类）,广东省东莞市常平镇圣旗路2号,陈俊隆,广东省东莞市常平镇圣旗路2号,91441900572351965U,陈俊隆,广东省药品监督管理局,吴承轩,东莞市市场监督管理局,李海燕、黄发德、钟进先,2026-12-27,2021-12-28,苏盛锋
24,法兰美化妆品（珠海）有限公司,粤妆20161543,粉单元（散粉类、块状粉类）；蜡基单元（蜡基类）,珠海市南屏科技工业园屏东二路1号工业厂房（二）四层,段传中,珠海市南屏科技工业园屏东二路1号工业厂房（二）四层,91440400778317746K,段传中,广东省药品监督管理局,梁日金,/,日常监管机构指定,2026-08-26,2021-12-28,苏盛锋
25,安徽欧奈生物科技有限公司,皖妆20210013,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）,安徽省滁州市中新苏滁高新技术产业开发区宜业路72号,刘远志,安徽省滁州市中新苏滁高新技术产业开发区宜业路72号,91341171MA2WG2RUXA,刘晨,安徽省药品监督管理局,刘远志,安徽省药品监督管理局,***,2026-12-27,2021-12-28,吴丽华
26,阜新市玉龙日用化学品厂,辽妆20160028,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护肤清洁类）,阜新市中华路东出口一号,牟营,阜新市中华路东出口一号,91210900X04137418J,牟营,辽宁省食品药品监督管理局,张国玲,阜新市食品药品监督管理局,吴德阳、韩超,2026-12-28,2021-12-28,潘勇
